Date,Open,High,Low,Close
05-Oct-17,10327.36,10346.85,10275.17,10283.6
06-Oct-17,10301.92,10375.88,10300.96,10366.71
09-Oct-17,10386.83,10412.66,10357.35,10384.76
10-Oct-17,10407.94,10431,10399.97,10408.12
11-Oct-17,10430.61,10463.11,10345.22,10373.21
12-Oct-17,10393.14,10492.65,10365.64,10483.52
13-Oct-17,10502.46,10582.19,10502.46,10559.5
16-Oct-17,10577.09,10634.47,10563.67,10620.48
17-Oct-17,10629.26,10645.13,10604.79,10621
18-Oct-17,10599.34,10628.27,10560.83,10598.29
19-Oct-17,10626.18,10631.86,10510.08,10534.23
23-Oct-17,10540.51,10605.26,10507.78,10563.37
24-Oct-17,10598.64,10621.3,10563.12,10588.8
25-Oct-17,10697.14,10730.46,10628.32,10682.34
26-Oct-17,10680.38,10736.88,10632.77,10723.86
27-Oct-17,10741.82,10749.08,10693.82,10707.69
30-Oct-17,10744.22,10772.06,10732,10749.84
31-Oct-17,10748.77,10760.66,10720.02,10733.59
01-Nov-17,10774.83,10857.05,10773.89,10839.14
02-Nov-17,10852.37,10860.15,10818.69,10830.32
03-Nov-17,10857.08,10877.22,10815.26,10863.87
06-Nov-17,10876.1,10920.15,10841.2,10884.79
07-Nov-17,10900.86,10921.36,10768.05,10779.14
08-Nov-17,10795.46,10815.8,10712.05,10731.88
09-Nov-17,10775.1,10800.45,10696.99,10744.96
10-Nov-17,10738.89,10770.79,10688.48,10750.86
13-Nov-17,10782.39,10788.34,10646.21,10655.4
14-Nov-17,10640.68,10679.79,10604.38,10615.52
15-Nov-17,10618.28,10618.47,10520.64,10544.35
16-Nov-17,10564.91,10664.36,10564.91,10645.33
17-Nov-17,10733.58,10777.76,10695.66,10716.6
20-Nov-17,10727.1,10749.23,10700.63,10730.72
21-Nov-17,10756.6,10806.74,10754.13,10765.23
22-Nov-17,10791.96,10809.19,10750.86,10780.13
23-Nov-17,10783.77,10814.79,10748.04,10788.41
24-Nov-17,10812.95,10842.5,10806.75,10829.27
27-Nov-17,10815.96,10847.7,10783,10841.03
28-Nov-17,10838.43,10862.1,10799.76,10813.28
29-Nov-17,10829.21,10846.06,10790.18,10806.07
30-Nov-17,10787.06,10795.85,10661.2,10674.41
01-Dec-17,10706.17,10722.93,10549.29,10562.77
04-Dec-17,10603.73,10619.32,10542.03,10573.73
05-Dec-17,10556.91,10584.95,10511.29,10559.16
06-Dec-17,10558.75,10560.38,10476.92,10485.88
07-Dec-17,10491.13,10624.33,10486.72,10610.47
08-Dec-17,10638.9,10719.42,10638.9,10707.53
11-Dec-17,10732.84,10792.5,10731.55,10768.81
12-Dec-17,10760.36,10770.69,10681.16,10692.83
13-Dec-17,10696.18,10747.21,10617.2,10638.47
